1,1,1-trichloroethane|20837
Hydrogen Sulfide (H2S gas)|10812 
Hydromorphone|60670                                                           
Hydroxychloroquine|56520
Hydroxyzine|51850 
Hypnotic or sedative, NOS|64000
Ibuprofen|603C0
Imipramine|622A0
Indomethacin|603D0
Insulin|A2200 
Ipecac|85620  
Iron (NOS)|13000 
Isobutanol|21018 
Isoflurane|6A116
Isoniazid|55260 
Isopropyl alcohol|21007  
Ketamine|6A157
Labetalol|81190  
Lametrigine (Lamictal)|6001
Laxative (NOS)|84800 
Lead (NOS)|13200 
Levamasole|56A96 
Levetiracetam (Keppra)|6017 
Lidocaine|80400 
Lithium|15400                                                                                               
Loperamide|84540 
Lorazepam|64570                                                                                         
LSD|63A10  
Lye|10300 
Magnesium|14800
MCPP (Chlorophenylpiperizine)|6033 
MDA (Methylenedioxyamphetamine)|65095
Meclizine|51860 
Mepivicaine|6B050 
Meperidine|60690 
Meprobamate|64280 
Mercuric compound (NOS)|13320
Mescaline|63A30 
Methadone|606A0 
Methamphetamine|65050 
Methane|20511 
Methanol|21002  
Methaqualone|64030
Methocarbamol|687F0 
Methylenedioxymethamphetamine(MDMA)|65098 
Metoclopromide|84040 
Metoprolol|80410   
Metronidazole|52040
Mexilitene|6002
Midazolam (Versed)|64580  
Mirtazepine|6019
Mitragynine (Kratom)|6037 
Morphine|606B0 
Mushroom poison (NOS)|30900
Nadolol(Corgard)|80420 
Naloxone|60D10  
Nicotine|30384 
Nitrate, amyl|81530 
Nitroprusside|81250 
Nitrous oxide|6A118 
Nortriptyline|62200 
NSAID|60300 
Olanzapine|6000 
Opioids|60600 
Orphenadrine|68800 
Oxazepam|64590  
Oxcarbazepine (Trileptal)|6015 
Oxycodone|606D0
Oxymorphone|606E0 
Pancuronium|68750  
Paragoric|606C2 
Paraquat|23512 
Parathion|23174  
Paroxetine|6009 
Penicillin|54000 
Pentazocine|60A40   
Pentobarbital|61390
Perphenazine|62A30 
Pesticide (NOS)|23000
Phencyclidine (PCP)|6A180 
Phenelzine|62420
Phenobarbital|61320 
Phenothiazine (NOS)|62700 
Phentermine|65080 
Phenylephrine|860EO 
Phenylpropanolamine|680F0 
Phenytoin|61640
Polyethylene glycol|21307 
Polyheme (blood substitute)|POLYH 
Potassium|13500 
Pregabalin (Lyrica)|6022 
Procainamide|80440                                                                                                        
Promethazine|62820
Propofol|6A156
Propoxephene|C15FC
Propranolol|80450
Protamine sulfate|A6710
Pseudoephedrine|68100
Psilocin|63A40 
Psilocybin|63A41
Quetiapine|6018
Quinidine|80460
Quinine|56550
Radiopaque medium|B0310
Risperidone|6010
Ropinorole|6032
Salicylate|60311
Secobarbital|613A0
Sertraline|6003 
Sodium chloride|71070 
Sulfuric acid|10260
Temazepam|645B0
Terbutaline|68120 
Terpine Hydrate|88355
THC|63A21
THC (synthetic)|6030 
Theophylline|69510
Thioridazine(Mellarit)|62B10
Thiothixene|63020
Thrombolytic agent|A7400 
Tocanide|8048
Toluene|20711
Topiramate|6021
T-PA|A7410
Tramadol|6004
Trazadone|622F0
Triamterene|6005
Trihexylphenidyl|67550
Triazolam|64560
Tricyclic (NOS)|62200
U-47700|6043
Unidentified substance|UNIDE
Urokinase|A7430
Valproate|61130
Venlofaxine|6006
Verapamil|80490
Water|10120
Zolpidem|6007
Zonisamide|6024
Ziprasidone|6028
